Algorithm,Size,Time
QuickSort,10000,0.04096037599998681
MergeSort,10000,0.022684787999992295
BubbleSort,10000,5.482342618000018
MergeSort,20000,0.035267852999993465
QuickSort,20000,0.029732184000010875
BubbleSort,20000,22.71615896899999
QuickSort,30000,0.046701894000023
MergeSort,30000,0.1995950400000197
BubbleSort,30000,58.37049057899998
MergeSort,40000,0.09074483900002406
QuickSort,40000,0.07859362199997122
BubbleSort,40000,115.45756510399997
QuickSort,50000,0.19666911299998446
MergeSort,50000,0.3878127490000338
BubbleSort,50000,186.76747347600002
QuickSort,60000,0.5857333079999307
MergeSort,60000,0.643252963000009
BubbleSort,60000,287.08002291799994
QuickSort,70000,0.5287863419999894
MergeSort,70000,0.2915392280000333
BubbleSort,70000,497.5433172119999
QuickSort,80000,0.5588626640001166
MergeSort,80000,0.8126252939998722
BubbleSort,80000,525.301802098
QuickSort,90000,0.5402676300000167
MergeSort,90000,0.47677186400005667
BubbleSort,90000,719.5494106500003
QuickSort,100000,0.5846640049999223
MergeSort,100000,0.6719478620002519
BubbleSort,100000,1028.543599734
